component_type,criticality,status,action,strategy_type,upstream_callers_count,downstream_deps_count,total_affected_count,critical_callers_count,max_dependency_depth,is_spof,cross_env_links,cpu_percent,has_cpu_telemetry,storage_gb,has_storage_telemetry,cost_per_month,risk_score,simulated_downtime_minutes,has_downtime_metric,simulated_cost_delta,has_cost_metric,strategy_complexity,provides_redundancy,requires_data_sync,zero_downtime_capable,suitability_score,is_suitable_label
database,low,degraded,migrate,dependency_circuit_breaker,3,1,4,0,2,0,0,36.9,1,461.5,1,183.72,70,63.1,1,36.74,1,3,0,0,0,0.5242,0
application,medium,active,migrate,direct_lift_shift,3,3,6,2,4,1,0,77.3,1,-1.0,0,2307.12,72,35.0,1,461.42,1,1,0,0,0,0.2703,0
application,medium,active,migrate,phased_blue_green,3,3,6,2,4,1,0,77.3,1,-1.0,0,2307.12,72,35.0,1,461.42,1,2,1,1,1,0.98,1
application,medium,active,migrate,multi_az_modernize,3,3,6,2,4,1,0,77.3,1,-1.0,0,2307.12,72,35.0,1,461.42,1,3,1,0,1,0.8406,1
application,medium,active,migrate,read_replica_offload,3,3,6,2,4,1,0,77.3,1,-1.0,0,2307.12,72,35.0,1,461.42,1,3,0,1,0,0.0917,0
application,medium,active,migrate,auto_scaling_group,3,3,6,2,4,1,0,77.3,1,-1.0,0,2307.12,72,35.0,1,461.42,1,2,1,0,1,0.98,1
application,medium,active,migrate,dependency_circuit_breaker,3,3,6,2,4,1,0,77.3,1,-1.0,0,2307.12,72,35.0,1,461.42,1,3,0,0,0,0.8389,1
container,high,degraded,migrate,direct_lift_shift,5,5,10,3,1,0,2,66.6,1,-1.0,0,187.43,97,19.9,1,37.49,1,1,0,0,0,0.2078,0
container,high,degraded,migrate,phased_blue_green,5,5,10,3,1,0,2,66.6,1,-1.0,0,187.43,97,19.9,1,37.49,1,2,1,1,1,0.6551,0
container,high,degraded,migrate,multi_az_modernize,5,5,10,3,1,0,2,66.6,1,-1.0,0,187.43,97,19.9,1,37.49,1,3,1,0,1,0.8606,1
container,high,degraded,migrate,read_replica_offload,5,5,10,3,1,0,2,66.6,1,-1.0,0,187.43,97,19.9,1,37.49,1,3,0,1,0,0.0683,0
container,high,degraded,migrate,auto_scaling_group,5,5,10,3,1,0,2,66.6,1,-1.0,0,187.43,97,19.9,1,37.49,1,2,1,0,1,0.4831,0
container,high,degraded,migrate,dependency_circuit_breaker,5,5,10,3,1,0,2,66.6,1,-1.0,0,187.43,97,19.9,1,37.49,1,3,0,0,0,0.8454,1
server,low,degraded,scale,direct_lift_shift,8,4,12,0,1,0,0,20.5,1,431.4,1,623.99,63,41.6,1,312.0,1,1,0,0,0,0.211,0
server,low,degraded,scale,phased_blue_green,8,4,12,0,1,0,0,20.5,1,431.4,1,623.99,63,41.6,1,312.0,1,2,1,1,1,0.6781,0
server,low,degraded,scale,multi_az_modernize,8,4,12,0,1,0,0,20.5,1,431.4,1,623.99,63,41.6,1,312.0,1,3,1,0,1,0.6477,0
server,low,degraded,scale,read_replica_offload,8,4,12,0,1,0,0,20.5,1,431.4,1,623.99,63,41.6,1,312.0,1,3,0,1,0,0.05,0
server,low,degraded,scale,auto_scaling_group,8,4,12,0,1,0,0,20.5,1,431.4,1,623.99,63,41.6,1,312.0,1,2,1,0,1,0.9248,1
server,low,degraded,scale,dependency_circuit_breaker,8,4,12,0,1,0,0,20.5,1,431.4,1,623.99,63,41.6,1,312.0,1,3,0,0,0,0.5293,0
server,critical,active,restart,direct_lift_shift,7,2,9,1,1,0,0,30.2,1,988.6,1,1120.44,70,69.4,1,0.0,1,1,0,0,0,0.2421,0
server,critical,active,restart,phased_blue_green,7,2,9,1,1,0,0,30.2,1,988.6,1,1120.44,70,69.4,1,0.0,1,2,1,1,1,0.6314,0
server,critical,active,restart,multi_az_modernize,7,2,9,1,1,0,0,30.2,1,988.6,1,1120.44,70,69.4,1,0.0,1,3,1,0,1,0.98,1
server,critical,active,restart,read_replica_offload,7,2,9,1,1,0,0,30.2,1,988.6,1,1120.44,70,69.4,1,0.0,1,3,0,1,0,0.05,0
server,critical,active,restart,auto_scaling_group,7,2,9,1,1,0,0,30.2,1,988.6,1,1120.44,70,69.4,1,0.0,1,2,1,0,1,0.5198,0
server,critical,active,restart,dependency_circuit_breaker,7,2,9,1,1,0,0,30.2,1,988.6,1,1120.44,70,69.4,1,0.0,1,3,0,0,0,0.9153,1
application,high,degraded,restart,direct_lift_shift,0,4,4,0,0,0,0,34.5,1,-1.0,0,78.76,47,-1.0,0,0.0,1,1,0,0,0,0.5836,0
application,high,degraded,restart,phased_blue_green,0,4,4,0,0,0,0,34.5,1,-1.0,0,78.76,47,-1.0,0,0.0,1,2,1,1,1,0.5402,0
application,high,degraded,restart,multi_az_modernize,0,4,4,0,0,0,0,34.5,1,-1.0,0,78.76,47,-1.0,0,0.0,1,3,1,0,1,0.8549,1
application,high,degraded,restart,read_replica_offload,0,4,4,0,0,0,0,34.5,1,-1.0,0,78.76,47,-1.0,0,0.0,1,3,0,1,0,0.1451,0
application,high,degraded,restart,auto_scaling_group,0,4,4,0,0,0,0,34.5,1,-1.0,0,78.76,47,-1.0,0,0.0,1,2,1,0,1,0.5062,0
application,high,degraded,restart,dependency_circuit_breaker,0,4,4,0,0,0,0,34.5,1,-1.0,0,78.76,47,-1.0,0,0.0,1,3,0,0,0,0.1365,0
storage,medium,degraded,scale,direct_lift_shift,3,4,7,0,1,1,0,28.9,1,523.9,1,475.19,85,46.2,1,237.59,1,1,0,0,0,0.2492,0
storage,medium,degraded,scale,phased_blue_green,3,4,7,0,1,1,0,28.9,1,523.9,1,475.19,85,46.2,1,237.59,1,2,1,1,1,0.6457,0
storage,medium,degraded,scale,multi_az_modernize,3,4,7,0,1,1,0,28.9,1,523.9,1,475.19,85,46.2,1,237.59,1,3,1,0,1,0.9488,1
storage,medium,degraded,scale,read_replica_offload,3,4,7,0,1,1,0,28.9,1,523.9,1,475.19,85,46.2,1,237.59,1,3,0,1,0,0.0569,0
storage,medium,degraded,scale,auto_scaling_group,3,4,7,0,1,1,0,28.9,1,523.9,1,475.19,85,46.2,1,237.59,1,2,1,0,1,0.1195,0
storage,medium,degraded,scale,dependency_circuit_breaker,3,4,7,0,1,1,0,28.9,1,523.9,1,475.19,85,46.2,1,237.59,1,3,0,0,0,0.5415,0
storage,critical,active,fail,direct_lift_shift,1,1,2,0,1,0,0,20.7,1,-1.0,0,1381.14,80,19.9,1,0.0,1,1,0,0,0,0.5762,0
storage,critical,active,fail,phased_blue_green,1,1,2,0,1,0,0,20.7,1,-1.0,0,1381.14,80,19.9,1,0.0,1,2,1,1,1,0.536,0
storage,critical,active,fail,multi_az_modernize,1,1,2,0,1,0,0,20.7,1,-1.0,0,1381.14,80,19.9,1,0.0,1,3,1,0,1,0.968,1
storage,critical,active,fail,read_replica_offload,1,1,2,0,1,0,0,20.7,1,-1.0,0,1381.14,80,19.9,1,0.0,1,3,0,1,0,0.0839,0
storage,critical,active,fail,auto_scaling_group,1,1,2,0,1,0,0,20.7,1,-1.0,0,1381.14,80,19.9,1,0.0,1,2,1,0,1,0.1773,0
storage,critical,active,fail,dependency_circuit_breaker,1,1,2,0,1,0,0,20.7,1,-1.0,0,1381.14,80,19.9,1,0.0,1,3,0,0,0,0.4539,0
database,high,warning,migrate,direct_lift_shift,6,5,11,3,2,0,1,25.0,1,288.9,1,1131.71,72,54.4,1,226.34,1,1,0,0,0,0.1802,0
database,high,warning,migrate,phased_blue_green,6,5,11,3,2,0,1,25.0,1,288.9,1,1131.71,72,54.4,1,226.34,1,2,1,1,1,0.98,1
database,high,warning,migrate,multi_az_modernize,6,5,11,3,2,0,1,25.0,1,288.9,1,1131.71,72,54.4,1,226.34,1,3,1,0,1,0.98,1
database,high,warning,migrate,read_replica_offload,6,5,11,3,2,0,1,25.0,1,288.9,1,1131.71,72,54.4,1,226.34,1,3,0,1,0,0.9242,1
database,high,warning,migrate,auto_scaling_group,6,5,11,3,2,0,1,25.0,1,288.9,1,1131.71,72,54.4,1,226.34,1,2,1,0,1,0.0836,0
database,high,warning,migrate,dependency_circuit_breaker,6,5,11,3,2,0,1,25.0,1,288.9,1,1131.71,72,54.4,1,226.34,1,3,0,0,0,0.9201,1
storage,high,degraded,fail,direct_lift_shift,1,2,3,1,3,0,0,47.5,1,736.3,1,1905.6,95,66.8,1,0.0,1,1,0,0,0,0.5175,0
storage,high,degraded,fail,phased_blue_green,1,2,3,1,3,0,0,47.5,1,736.3,1,1905.6,95,66.8,1,0.0,1,2,1,1,1,0.4873,0
storage,high,degraded,fail,multi_az_modernize,1,2,3,1,3,0,0,47.5,1,736.3,1,1905.6,95,66.8,1,0.0,1,3,1,0,1,0.9376,1
storage,high,degraded,fail,read_replica_offload,1,2,3,1,3,0,0,47.5,1,736.3,1,1905.6,95,66.8,1,0.0,1,3,0,1,0,0.1077,0
storage,high,degraded,fail,auto_scaling_group,1,2,3,1,3,0,0,47.5,1,736.3,1,1905.6,95,66.8,1,0.0,1,2,1,0,1,0.2279,0
storage,high,degraded,fail,dependency_circuit_breaker,1,2,3,1,3,0,0,47.5,1,736.3,1,1905.6,95,66.8,1,0.0,1,3,0,0,0,0.541,0
lambda,critical,degraded,fail,direct_lift_shift,1,6,7,1,4,0,0,57.0,1,-1.0,0,455.73,100,35.0,1,0.0,1,1,0,0,0,0.8238,1
lambda,critical,degraded,fail,phased_blue_green,1,6,7,1,4,0,0,57.0,1,-1.0,0,455.73,100,35.0,1,0.0,1,2,1,1,1,0.3011,0
lambda,critical,degraded,fail,multi_az_modernize,1,6,7,1,4,0,0,57.0,1,-1.0,0,455.73,100,35.0,1,0.0,1,3,1,0,1,0.7981,1
lambda,critical,degraded,fail,read_replica_offload,1,6,7,1,4,0,0,57.0,1,-1.0,0,455.73,100,35.0,1,0.0,1,3,0,1,0,0.05,0
lambda,critical,degraded,fail,auto_scaling_group,1,6,7,1,4,0,0,57.0,1,-1.0,0,455.73,100,35.0,1,0.0,1,2,1,0,1,0.4624,0
lambda,critical,degraded,fail,dependency_circuit_breaker,1,6,7,1,4,0,0,57.0,1,-1.0,0,455.73,100,35.0,1,0.0,1,3,0,0,0,0.4776,0
lambda,low,degraded,fail,direct_lift_shift,4,3,7,4,4,1,0,70.8,1,-1.0,0,505.38,100,35.0,1,0.0,1,1,0,0,0,0.1686,0
lambda,low,degraded,fail,phased_blue_green,4,3,7,4,4,1,0,70.8,1,-1.0,0,505.38,100,35.0,1,0.0,1,2,1,1,1,0.4519,0
lambda,low,degraded,fail,multi_az_modernize,4,3,7,4,4,1,0,70.8,1,-1.0,0,505.38,100,35.0,1,0.0,1,3,1,0,1,0.79,1
lambda,low,degraded,fail,read_replica_offload,4,3,7,4,4,1,0,70.8,1,-1.0,0,505.38,100,35.0,1,0.0,1,3,0,1,0,0.05,0
lambda,low,degraded,fail,auto_scaling_group,4,3,7,4,4,1,0,70.8,1,-1.0,0,505.38,100,35.0,1,0.0,1,2,1,0,1,0.5162,0
lambda,low,degraded,fail,dependency_circuit_breaker,4,3,7,4,4,1,0,70.8,1,-1.0,0,505.38,100,35.0,1,0.0,1,3,0,0,0,0.9286,1
database,critical,active,restart,direct_lift_shift,7,3,10,3,3,1,0,51.6,1,590.4,1,1033.79,85,74.5,1,0.0,1,1,0,0,0,0.2591,0
database,critical,active,restart,phased_blue_green,7,3,10,3,3,1,0,51.6,1,590.4,1,1033.79,85,74.5,1,0.0,1,2,1,1,1,0.637,0
database,critical,active,restart,multi_az_modernize,7,3,10,3,3,1,0,51.6,1,590.4,1,1033.79,85,74.5,1,0.0,1,3,1,0,1,0.98,1
database,critical,active,restart,read_replica_offload,7,3,10,3,3,1,0,51.6,1,590.4,1,1033.79,85,74.5,1,0.0,1,3,0,1,0,0.9772,1
database,critical,active,restart,auto_scaling_group,7,3,10,3,3,1,0,51.6,1,590.4,1,1033.79,85,74.5,1,0.0,1,2,1,0,1,0.1623,0
database,critical,active,restart,dependency_circuit_breaker,7,3,10,3,3,1,0,51.6,1,590.4,1,1033.79,85,74.5,1,0.0,1,3,0,0,0,0.867,1
server,critical,degraded,scale,direct_lift_shift,3,6,9,3,2,1,0,39.6,1,636.8,1,933.09,100,56.8,1,466.55,1,1,0,0,0,0.2611,0
server,critical,degraded,scale,phased_blue_green,3,6,9,3,2,1,0,39.6,1,636.8,1,933.09,100,56.8,1,466.55,1,2,1,1,1,0.6978,0
server,critical,degraded,scale,multi_az_modernize,3,6,9,3,2,1,0,39.6,1,636.8,1,933.09,100,56.8,1,466.55,1,3,1,0,1,0.98,1
server,critical,degraded,scale,read_replica_offload,3,6,9,3,2,1,0,39.6,1,636.8,1,933.09,100,56.8,1,466.55,1,3,0,1,0,0.1839,0
server,critical,degraded,scale,auto_scaling_group,3,6,9,3,2,1,0,39.6,1,636.8,1,933.09,100,56.8,1,466.55,1,2,1,0,1,0.929,1
server,critical,degraded,scale,dependency_circuit_breaker,3,6,9,3,2,1,0,39.6,1,636.8,1,933.09,100,56.8,1,466.55,1,3,0,0,0,0.9013,1
server,low,degraded,scale,direct_lift_shift,3,3,6,0,2,1,0,69.3,1,265.0,1,1149.57,78,38.2,1,574.78,1,1,0,0,0,0.2231,0
server,low,degraded,scale,phased_blue_green,3,3,6,0,2,1,0,69.3,1,265.0,1,1149.57,78,38.2,1,574.78,1,2,1,1,1,0.6589,0
server,low,degraded,scale,multi_az_modernize,3,3,6,0,2,1,0,69.3,1,265.0,1,1149.57,78,38.2,1,574.78,1,3,1,0,1,0.98,1
server,low,degraded,scale,read_replica_offload,3,3,6,0,2,1,0,69.3,1,265.0,1,1149.57,78,38.2,1,574.78,1,3,0,1,0,0.0782,0
server,low,degraded,scale,auto_scaling_group,3,3,6,0,2,1,0,69.3,1,265.0,1,1149.57,78,38.2,1,574.78,1,2,1,0,1,0.9063,1
server,low,degraded,scale,dependency_circuit_breaker,3,3,6,0,2,1,0,69.3,1,265.0,1,1149.57,78,38.2,1,574.78,1,3,0,0,0,0.5054,0
storage,high,degraded,scale,direct_lift_shift,2,0,2,0,0,0,0,87.9,1,588.2,1,2254.47,70,44.4,1,1127.23,1,1,0,0,0,0.6398,0
storage,high,degraded,scale,phased_blue_green,2,0,2,0,0,0,0,87.9,1,588.2,1,2254.47,70,44.4,1,1127.23,1,2,1,1,1,0.6758,0
storage,high,degraded,scale,multi_az_modernize,2,0,2,0,0,0,0,87.9,1,588.2,1,2254.47,70,44.4,1,1127.23,1,3,1,0,1,0.8051,1
storage,high,degraded,scale,read_replica_offload,2,0,2,0,0,0,0,87.9,1,588.2,1,2254.47,70,44.4,1,1127.23,1,3,0,1,0,0.1817,0
storage,high,degraded,scale,auto_scaling_group,2,0,2,0,0,0,0,87.9,1,588.2,1,2254.47,70,44.4,1,1127.23,1,2,1,0,1,0.1618,0
storage,high,degraded,scale,dependency_circuit_breaker,2,0,2,0,0,0,0,87.9,1,588.2,1,2254.47,70,44.4,1,1127.23,1,3,0,0,0,0.4689,0
container,high,degraded,scale,direct_lift_shift,6,2,8,2,4,1,0,42.5,1,-1.0,0,783.79,95,-1.0,0,391.89,1,1,0,0,0,0.2563,0
container,high,degraded,scale,phased_blue_green,6,2,8,2,4,1,0,42.5,1,-1.0,0,783.79,95,-1.0,0,391.89,1,2,1,1,1,0.657,0
container,high,degraded,scale,multi_az_modernize,6,2,8,2,4,1,0,42.5,1,-1.0,0,783.79,95,-1.0,0,391.89,1,3,1,0,1,0.8733,1
container,high,degraded,scale,read_replica_offload,6,2,8,2,4,1,0,42.5,1,-1.0,0,783.79,95,-1.0,0,391.89,1,3,0,1,0,0.1079,0
container,high,degraded,scale,auto_scaling_group,6,2,8,2,4,1,0,42.5,1,-1.0,0,783.79,95,-1.0,0,391.89,1,2,1,0,1,0.9257,1
container,high,degraded,scale,dependency_circuit_breaker,6,2,8,2,4,1,0,42.5,1,-1.0,0,783.79,95,-1.0,0,391.89,1,3,0,0,0,0.8838,1
lambda,critical,active,restart,direct_lift_shift,2,2,4,1,3,1,0,-1.0,0,-1.0,0,437.63,83,-1.0,0,0.0,1,1,0,0,0,0.2225,0
lambda,critical,active,restart,phased_blue_green,2,2,4,1,3,1,0,-1.0,0,-1.0,0,437.63,83,-1.0,0,0.0,1,2,1,1,1,0.3927,0
lambda,critical,active,restart,multi_az_modernize,2,2,4,1,3,1,0,-1.0,0,-1.0,0,437.63,83,-1.0,0,0.0,1,3,1,0,1,0.8058,1
lambda,critical,active,restart,read_replica_offload,2,2,4,1,3,1,0,-1.0,0,-1.0,0,437.63,83,-1.0,0,0.0,1,3,0,1,0,0.1234,0
lambda,critical,active,restart,auto_scaling_group,2,2,4,1,3,1,0,-1.0,0,-1.0,0,437.63,83,-1.0,0,0.0,1,2,1,0,1,0.5206,0
lambda,critical,active,restart,dependency_circuit_breaker,2,2,4,1,3,1,0,-1.0,0,-1.0,0,437.63,83,-1.0,0,0.0,1,3,0,0,0,0.5328,0
lambda,critical,active,migrate,direct_lift_shift,6,4,10,3,2,1,1,25.8,1,-1.0,0,353.14,100,24.9,1,70.63,1,1,0,0,0,0.263,0
lambda,critical,active,migrate,phased_blue_green,6,4,10,3,2,1,1,25.8,1,-1.0,0,353.14,100,24.9,1,70.63,1,2,1,1,1,0.4287,0
lambda,critical,active,migrate,multi_az_modernize,6,4,10,3,2,1,1,25.8,1,-1.0,0,353.14,100,24.9,1,70.63,1,3,1,0,1,0.8336,1
lambda,critical,active,migrate,read_replica_offload,6,4,10,3,2,1,1,25.8,1,-1.0,0,353.14,100,24.9,1,70.63,1,3,0,1,0,0.05,0
lambda,critical,active,migrate,auto_scaling_group,6,4,10,3,2,1,1,25.8,1,-1.0,0,353.14,100,24.9,1,70.63,1,2,1,0,1,0.464,0
lambda,critical,active,migrate,dependency_circuit_breaker,6,4,10,3,2,1,1,25.8,1,-1.0,0,353.14,100,24.9,1,70.63,1,3,0,0,0,0.8614,1
lambda,high,warning,migrate,direct_lift_shift,7,4,11,1,1,0,1,26.3,1,-1.0,0,2457.71,72,19.9,1,491.54,1,1,0,0,0,0.2932,0
lambda,high,warning,migrate,phased_blue_green,7,4,11,1,1,0,1,26.3,1,-1.0,0,2457.71,72,19.9,1,491.54,1,2,1,1,1,0.4877,0
lambda,high,warning,migrate,multi_az_modernize,7,4,11,1,1,0,1,26.3,1,-1.0,0,2457.71,72,19.9,1,491.54,1,3,1,0,1,0.8195,1
lambda,high,warning,migrate,read_replica_offload,7,4,11,1,1,0,1,26.3,1,-1.0,0,2457.71,72,19.9,1,491.54,1,3,0,1,0,0.1429,0
lambda,high,warning,migrate,auto_scaling_group,7,4,11,1,1,0,1,26.3,1,-1.0,0,2457.71,72,19.9,1,491.54,1,2,1,0,1,0.4648,0
lambda,high,warning,migrate,dependency_circuit_breaker,7,4,11,1,1,0,1,26.3,1,-1.0,0,2457.71,72,19.9,1,491.54,1,3,0,0,0,0.9139,1
lambda,low,warning,migrate,direct_lift_shift,2,0,2,2,0,0,3,-1.0,0,-1.0,0,179.37,65,14.9,1,35.87,1,1,0,0,0,0.595,0
lambda,low,warning,migrate,phased_blue_green,2,0,2,2,0,0,3,-1.0,0,-1.0,0,179.37,65,14.9,1,35.87,1,2,1,1,1,0.4839,0
lambda,low,warning,migrate,multi_az_modernize,2,0,2,2,0,0,3,-1.0,0,-1.0,0,179.37,65,14.9,1,35.87,1,3,1,0,1,0.3954,0
lambda,low,warning,migrate,read_replica_offload,2,0,2,2,0,0,3,-1.0,0,-1.0,0,179.37,65,14.9,1,35.87,1,3,0,1,0,0.0846,0
lambda,low,warning,migrate,auto_scaling_group,2,0,2,2,0,0,3,-1.0,0,-1.0,0,179.37,65,14.9,1,35.87,1,2,1,0,1,0.5216,0
lambda,low,warning,migrate,dependency_circuit_breaker,2,0,2,2,0,0,3,-1.0,0,-1.0,0,179.37,65,14.9,1,35.87,1,3,0,0,0,0.535,0
server,high,degraded,fail,direct_lift_shift,1,0,1,0,2,0,0,10.6,1,987.7,1,260.17,87,74.4,1,0.0,1,1,0,0,0,0.5733,0
server,high,degraded,fail,phased_blue_green,1,0,1,0,2,0,0,10.6,1,987.7,1,260.17,87,74.4,1,0.0,1,2,1,1,1,0.4976,0
server,high,degraded,fail,multi_az_modernize,1,0,1,0,2,0,0,10.6,1,987.7,1,260.17,87,74.4,1,0.0,1,3,1,0,1,0.98,1
server,high,degraded,fail,read_replica_offload,1,0,1,0,2,0,0,10.6,1,987.7,1,260.17,87,74.4,1,0.0,1,3,0,1,0,0.05,0
server,high,degraded,fail,auto_scaling_group,1,0,1,0,2,0,0,10.6,1,987.7,1,260.17,87,74.4,1,0.0,1,2,1,0,1,0.508,0
server,high,degraded,fail,dependency_circuit_breaker,1,0,1,0,2,0,0,10.6,1,987.7,1,260.17,87,74.4,1,0.0,1,3,0,0,0,0.5244,0
container,critical,degraded,restart,direct_lift_shift,7,3,10,2,4,1,0,85.7,1,-1.0,0,2498.62,100,-1.0,0,0.0,1,1,0,0,0,0.2605,0
container,critical,degraded,restart,phased_blue_green,7,3,10,2,4,1,0,85.7,1,-1.0,0,2498.62,100,-1.0,0,0.0,1,2,1,1,1,0.572,0
container,critical,degraded,restart,multi_az_modernize,7,3,10,2,4,1,0,85.7,1,-1.0,0,2498.62,100,-1.0,0,0.0,1,3,1,0,1,0.886,1
container,critical,degraded,restart,read_replica_offload,7,3,10,2,4,1,0,85.7,1,-1.0,0,2498.62,100,-1.0,0,0.0,1,3,0,1,0,0.05,0
container,critical,degraded,restart,auto_scaling_group,7,3,10,2,4,1,0,85.7,1,-1.0,0,2498.62,100,-1.0,0,0.0,1,2,1,0,1,0.98,1
container,critical,degraded,restart,dependency_circuit_breaker,7,3,10,2,4,1,0,85.7,1,-1.0,0,2498.62,100,-1.0,0,0.0,1,3,0,0,0,0.8566,1
database,medium,warning,fail,direct_lift_shift,6,4,10,0,2,1,0,10.3,1,404.8,1,2091.84,92,60.2,1,0.0,1,1,0,0,0,0.3002,0
database,medium,warning,fail,phased_blue_green,6,4,10,0,2,1,0,10.3,1,404.8,1,2091.84,92,60.2,1,0.0,1,2,1,1,1,0.6878,0
database,medium,warning,fail,multi_az_modernize,6,4,10,0,2,1,0,10.3,1,404.8,1,2091.84,92,60.2,1,0.0,1,3,1,0,1,0.98,1
database,medium,warning,fail,read_replica_offload,6,4,10,0,2,1,0,10.3,1,404.8,1,2091.84,92,60.2,1,0.0,1,3,0,1,0,0.9047,1
database,medium,warning,fail,auto_scaling_group,6,4,10,0,2,1,0,10.3,1,404.8,1,2091.84,92,60.2,1,0.0,1,2,1,0,1,0.164,0
database,medium,warning,fail,dependency_circuit_breaker,6,4,10,0,2,1,0,10.3,1,404.8,1,2091.84,92,60.2,1,0.0,1,3,0,0,0,0.4662,0
database,critical,warning,migrate,direct_lift_shift,8,2,10,1,2,1,3,66.1,1,-1.0,0,1602.42,100,40.0,1,320.48,1,1,0,0,0,0.1541,0
database,critical,warning,migrate,phased_blue_green,8,2,10,1,2,1,3,66.1,1,-1.0,0,1602.42,100,40.0,1,320.48,1,2,1,1,1,0.98,1
database,critical,warning,migrate,multi_az_modernize,8,2,10,1,2,1,3,66.1,1,-1.0,0,1602.42,100,40.0,1,320.48,1,3,1,0,1,0.98,1
database,critical,warning,migrate,read_replica_offload,8,2,10,1,2,1,3,66.1,1,-1.0,0,1602.42,100,40.0,1,320.48,1,3,0,1,0,0.8608,1
database,critical,warning,migrate,auto_scaling_group,8,2,10,1,2,1,3,66.1,1,-1.0,0,1602.42,100,40.0,1,320.48,1,2,1,0,1,0.1591,0
database,critical,warning,migrate,dependency_circuit_breaker,8,2,10,1,2,1,3,66.1,1,-1.0,0,1602.42,100,40.0,1,320.48,1,3,0,0,0,0.8775,1
application,critical,warning,restart,direct_lift_shift,0,6,6,0,0,0,0,29.9,1,-1.0,0,1221.65,40,-1.0,0,0.0,1,1,0,0,0,0.5779,0
application,critical,warning,restart,phased_blue_green,0,6,6,0,0,0,0,29.9,1,-1.0,0,1221.65,40,-1.0,0,0.0,1,2,1,1,1,0.5278,0
application,critical,warning,restart,multi_az_modernize,0,6,6,0,0,0,0,29.9,1,-1.0,0,1221.65,40,-1.0,0,0.0,1,3,1,0,1,0.9469,1
application,critical,warning,restart,read_replica_offload,0,6,6,0,0,0,0,29.9,1,-1.0,0,1221.65,40,-1.0,0,0.0,1,3,0,1,0,0.0891,0
application,critical,warning,restart,auto_scaling_group,0,6,6,0,0,0,0,29.9,1,-1.0,0,1221.65,40,-1.0,0,0.0,1,2,1,0,1,0.4864,0
application,critical,warning,restart,dependency_circuit_breaker,0,6,6,0,0,0,0,29.9,1,-1.0,0,1221.65,40,-1.0,0,0.0,1,3,0,0,0,0.17,0
storage,critical,degraded,fail,direct_lift_shift,7,5,12,0,3,0,0,22.2,1,574.0,1,2144.87,100,58.7,1,0.0,1,1,0,0,0,0.1957,0
storage,critical,degraded,fail,phased_blue_green,7,5,12,0,3,0,0,22.2,1,574.0,1,2144.87,100,58.7,1,0.0,1,2,1,1,1,0.6589,0
storage,critical,degraded,fail,multi_az_modernize,7,5,12,0,3,0,0,22.2,1,574.0,1,2144.87,100,58.7,1,0.0,1,3,1,0,1,0.9221,1
storage,critical,degraded,fail,read_replica_offload,7,5,12,0,3,0,0,22.2,1,574.0,1,2144.87,100,58.7,1,0.0,1,3,0,1,0,0.1272,0
storage,critical,degraded,fail,auto_scaling_group,7,5,12,0,3,0,0,22.2,1,574.0,1,2144.87,100,58.7,1,0.0,1,2,1,0,1,0.0725,0
storage,critical,degraded,fail,dependency_circuit_breaker,7,5,12,0,3,0,0,22.2,1,574.0,1,2144.87,100,58.7,1,0.0,1,3,0,0,0,0.4695,0
container,critical,active,fail,direct_lift_shift,1,2,3,1,3,0,0,47.9,1,-1.0,0,306.88,88,29.9,1,0.0,1,1,0,0,0,0.8149,1
container,critical,active,fail,phased_blue_green,1,2,3,1,3,0,0,47.9,1,-1.0,0,306.88,88,29.9,1,0.0,1,2,1,1,1,0.504,0
container,critical,active,fail,multi_az_modernize,1,2,3,1,3,0,0,47.9,1,-1.0,0,306.88,88,29.9,1,0.0,1,3,1,0,1,0.9192,1
container,critical,active,fail,read_replica_offload,1,2,3,1,3,0,0,47.9,1,-1.0,0,306.88,88,29.9,1,0.0,1,3,0,1,0,0.1599,0
container,critical,active,fail,auto_scaling_group,1,2,3,1,3,0,0,47.9,1,-1.0,0,306.88,88,29.9,1,0.0,1,2,1,0,1,0.4802,0
container,critical,active,fail,dependency_circuit_breaker,1,2,3,1,3,0,0,47.9,1,-1.0,0,306.88,88,29.9,1,0.0,1,3,0,0,0,0.4801,0
storage,high,active,scale,direct_lift_shift,2,6,8,0,0,1,0,23.6,1,903.1,1,1920.45,65,60.2,1,960.23,1,1,0,0,0,0.296,0
storage,high,active,scale,phased_blue_green,2,6,8,0,0,1,0,23.6,1,903.1,1,1920.45,65,60.2,1,960.23,1,2,1,1,1,0.6619,0
storage,high,active,scale,multi_az_modernize,2,6,8,0,0,1,0,23.6,1,903.1,1,1920.45,65,60.2,1,960.23,1,3,1,0,1,0.9507,1
storage,high,active,scale,read_replica_offload,2,6,8,0,0,1,0,23.6,1,903.1,1,1920.45,65,60.2,1,960.23,1,3,0,1,0,0.1115,0
storage,high,active,scale,auto_scaling_group,2,6,8,0,0,1,0,23.6,1,903.1,1,1920.45,65,60.2,1,960.23,1,2,1,0,1,0.1037,0
storage,high,active,scale,dependency_circuit_breaker,2,6,8,0,0,1,0,23.6,1,903.1,1,1920.45,65,60.2,1,960.23,1,3,0,0,0,0.4467,0
database,medium,warning,fail,direct_lift_shift,1,5,6,1,4,0,0,51.8,1,336.1,1,575.04,65,66.8,1,0.0,1,1,0,0,0,0.5379,0
